WESS_LAN_num,ISO_lang,Anglicized_name,Language_JFProd,Language_name_WCD,Dialect_name
16488,bhw,Biak,BIAK,Biak,
19547,bhz,Bada,BADA,Bada,
145881,bib,Barka,BARKA,Bisa,Barka
5174,bim,Moba,BIMOBA,Moba,
10255,bin,Edo,EDO,Edo,
9181,bis,Bislama,BISLAMA,Bislama,
5173,biv,Lob,"BIRIFOR, SOUTHERN",Lob,
15667,bja,North Buja,BUDZA,,
21963,bjg,Bijago,BIJAGO,,
6631,bjj,Kannauji,KANAUJI,Braj,Kannauji
16827,bjn,Banjarese,BANJAR,Banjarese,
139741,bjp,Maket,FANAMAKET,Maket,
23511,bjt,Balanta Naaga,BALANTA-GANJA,Balanta Naaga,
184847,bjw,Bakwe,BAKWE,,
12854,bkd,Binukid,BINUKID,Binukid,
19558,bkm,Kom,KOM,Kom,
1884,bkq,Bakairi,BAKAIRI,Bakairi,
19560,bkr,Bakumpai,BAKUMPAI,Bakumpai,
10208,bkv,Kwarra,BEKWARRA,Kwarra,
139761,bkw,Kwil,BEKWEL,Kwil,
2788,bky,Ki,BOKYI,Ki,
3105,bla,Siksi Ka,BLACKFOOT,Siksi Ka,
139762,blb,Vella Lavella,BILUA,Vella Lavella,
13002,ble,North Balanta,BALANTA,,
53321,ble,South Balanta,BALANTA-NAGA,,
17373,blf,Buol,BUOL,Buol,
21662,blk,Pao,PA'O,Pao,
114921,blm,Jur Beli,JUR BELI,,
114936,blr,Bulang,PLANG,,
7516,blt,Tai Dam,TAI DAM,Tai Dam,
12808,blw,Balangao,BALANGAO,Balangao,
139772,blx,Mag Indi,"AYTA, MAG-INDI",Mag Indi,
97403,blz,Balantak,BALANTAK,Balantak,
19571,bmb,Beembe,BEMBE,Beembe,
26664,bmm,North Betsimisaraka,"MALAGASY, NORTHERN BETSIMISARAKA",North Betsimisaraka,
2081,bmq,Bwamu,BOMU,,
139791,bmu,Wider Somba,SOMBA-SIAWARI,,
139792,bmv,Bum,BUM,Bum,
12801,bno,Bantua,BANTOANON,Bantua,
10813,bnp,Bola,BOLA,Bola,
20587,bns,Bundeli,BUNDEL KHANDI,Bundeli,
139707,boa,Bora,BORA,Bora,
21795,bod,Utsang Urban,"LHASA, TIBETAN",Utsang,Utsang Urban
10810,boj,Anjam,ANJAM,Anjam,
19581,bol,Pika,BOLEWA,Pika,
10185,bom,Berom,BEROM,,
11446,bon,Northeast Bini,BINE,,
1873,bor,Bororo,BORORO,Bororo,
20581,bos,Bosnian,BOSNIAN,Bosnian,
97457,bot,Bongo,BONGO,Bongo,
139885,boz,Tieya,"BOZO, TIGEMAXO",Tieya,
12816,bpr,Koronadal,"BLAAN, KORONADAL",Koronadal,
12815,bps,Sarangani Blaan,"BLAAN, SARANGANI",Sarangani Blaan,
23250,bpy,Bishnupuriya,BISHNUPRIYA,Bishnupuriya,
6800,bqi,Haft Lang,BAKHTIARI,Luri,Haft Lang
139909,bqj,Banjal,BANDIAL,Banjal,
5611,bra,Braj,BRAJ BHASHA,Braj,
158608,bre,Tregereg,BREZHONEG,Tregereg,
351,brh,Brauidi,BRAHUI,Brauidi,
7371,bru,Kaleu,"BRU, EASTERN",Kaleu,
19594,brx,Bodo,BODO,Bodo,
139945,bsc,Ni Yan,ONIYAN,Ni Yan,
28054,bsj,Bangwinji,BANGJINGE,Bangwinji,
10570,bsk,Burushaski,BURUSHASKI,,
19508,bsq,Basoo,BASSA,Basoo,
2894,bss,Akoose,AKOOSE,,
4779,bst,Basketo,BASKETTO,Basketo,
21637,btd,Dairi Batak,PAK PAK DAIRI,Dairi Batak,
17815,btm,Mandailing,BATAK MANDAILING,Mandailing,
158787,bto,Rinconada,RINCONADA BIKOL,Rinconada,
17814,bts,Simalungun,BATAK SIMALUNGUN,Simalungun,
28132,btt,Bete Bende,BETTE,Bete Bende,
17813,btx,Karo,BATAK KARO,Karo,
146378,btz,Alas,BATAK-ALAS,Alas,
5171,bud,Can,NTCHAM,Can,
17645,bug,Buginese,BUGIS,,
1964,bul,Bulgarian,BULGARIAN,Bulgarian,
2884,bum,Bulu,BULU,Bulu,
13084,bun,Shebra,SHERBRO,Shebra,
24091,buu,Neta,"BUDU, NITA",Budu,Neta
24092,buu,Koda,"BUDU, KOYA",Budu,Koda
158871,bux,Boghom,BOGGHOM,Boghom,
115239,bvb,Wider Bubi,BOBE,,
139996,bvc,Baelelea,BAELELEA,Baelelea,
139997,bvd,Baegu,BAEGGU,Baegu,
16883,bvu,Meratus,"MALAY, BUKIT",Banjarese,Meratus
10343,bwr,Pabir,BURA-PABIR,Pabir,
19610,bwu,Li,BULI,Li,
19606,bxk,Bukusu,BUKUSU,Bukusu,
18321,bxr,Buryat,"BURIAT, RUSSIA",Buryat,
97609,byd,Nyadu,BENYADU',Nyadu,
4593,byn,Bilin,BLIN,Bilin,
49141,bys,Burak,BUURAK,Burak,
2871,byv,Ngang,MEDUMBA,Ngiemboon,Ngang
7655,bza,Bandi,BANDI,Bandi,
27226,bzc,South Betsimisaraka,"MALAGASY, SOUTHERN BETSIMISARAKA",South Betsimisaraka,
140166,bze,Sorogo Bozo,"BOZO, JENAAMA",,
159546,bzh,Mapos,CENTRAL BUANG,Mapos,
140169,bzi,Bisu,BISU,Bisu,
1872,bzs,Brazilian Sign Language,BRAZILIAN SIGN LANGUAGE,Brazilian,Brazilian Sign Language
24010,bzw,Wider Rubasa,BASA,,
184631,bzy,Banliku,ABANGLEKUO,Banliku,
1277,cab,Black Carib,GARIFUNA,Black Carib,
5392,cak,West Cakchiquel,"CAKCHIQUEL, WESTERN",West Cakchiquel,
5397,cak,East Cakchiquel,"CAKCHIQUEL, EASTERN",East Cakchiquel,
5437,cak,Central South Cakchiquel,"CAKCHIQUEL, SOUTH CENTRAL",Central South Cakchiquel,
5439,cak,Central Cakchiquel,"CAKCHIQUEL, CENTRAL",Central Cakchiquel,
49145,car,West Carinya,WESTERN CARIB,West Carinya,
53421,car,East Carib,"CARIB, EASTERN",East Carib,
140021,cas,Tsimane,TSIMANE,Tsimane,
531,cat,Catalan,CATALAN - VALENCIAN - BALEAR,Catalan,
4501,cbi,Tsa Chi,CHACHI,Tsa Chi,
140033,cbj,Cabe,EDE CABE,West Yoruba,Cabe
12791,cbk,Chabacano,CHAVACANO,Chabacano,
184585,cbr,Cacatai,KAKATAIBO,Cacatai,
158997,cbs,Cashi,JUNI KUIN,Cashi,
159000,cbt,Chayahuita,SHAWI (CHAYAHUITA),Chayahuita,
184586,cbu,Candoxi,KANDOOZI,Candoxi,
8420,cce,Chopi,CHOPI,Chopi,
159038,ccg,Samba Daka,CHAMBA DAKA,Samba Daka,
1253,ccp,Chakma,CHAKMA,East Bangla,Chakma
97720,cdg,Chamari,CHAMARI,Haryanvi,Chamari
5652,cdh,Chameali,CHAMBEALI,Chameali,
5648,cdi,Chodhari,CHODRI,Chodhari,
5647,cdj,Churahi,CHURAHI,Gaddi,Churahi
23033,cdo,Fuzhou,FOOCHOW,South Min-Dong,Fuzhou
9637,cdr,Kamuku,KAMUKU,,
12784,ceb,Cebuano Vehicular,CEBUANO,Cebuano Vehicular,
184842,cen,Chen,IBAAS (ICEN),South Zere,Chen
4432,ces,Czech,CZECH,Czech,
53395,cfa,Cham,DIJIM (CHAM),Cham,
1192,cfm,Falam,"CHIN, FALAM",Falam,
5379,cha,Guam Chamorro,CHAMORRO,Guam Chamorro,
7139,che,Chechen,CHECHEN,Chechen,
139129,chk,Truk Vehicular,Chuukese,Truk Vehicular,
97745,chp,Dene,DENE,Dene,
8343,chq,Quiotepec,"CHINANTECO, QUIOTEPEC",Quiotepec,Quiotepec
18574,chv,Chuvash,CHUVASH,Chuvash,
8426,chw,Chwabo,CHWABO,Chwabo,
17626,cia,South Butonese,CIA-CIA,,
2145,cja,West Cham,"CHAM, WESTERN",West Cham,
23491,cjk,Chokwe,"CHOKWE, CONGO",Chokwe,
