asset_id,media_component_id
A312634730828262,
A312634730828262,2_Acts7322-0-0
A312835917548452,2_Acts7325-0-0
A315861259472566,
A315861259472566,2_Acts7358-0-0
A322206583637021,
A322206583637021,2_Acts7304-0-0
A322206583637021,2_Acts-0-0
A322206583637021,1_jf61??-0-0
A334870233517491,
A334870233517491,2_Acts7317-0-0
A334870233517491,2_Acts7314-0-0
A334988485570104,2_0-La-Liberte
A344575128205397,
A349589329847871,2_Acts7321-0-0
A349749636847709,
A349749636847709,2_Acts7328-0-0
A351652459188609,
A352204302988378,2_Acts-0-0
A352204302988378,
A356820818868617,2_Acts-0-0
A356820818868617,
A357995400750095,2_Acts7335-0-0
A357995400750095,2_Acts73??-0-0
A360579292224336,
A361208586848999,
A371172673470496,2_Acts7307-0-0
A382159447810462,2_Acts-0-0
A391661488241351,2_Acts7352-0-0
A399468999273072,
A399468999273072,2_Acts7331-0-0
A404778436408240,2_Acts-0-0
A404778436408240,
A405395926554562,
A407851620305220,1_jf61??-0-0
A412635038947507,7_0-nfs0602
A413132634383208,
A413132634383208,2_Acts7364-0-0
A414776699478259,
A414880231191706,2_Acts7337-0-0
A414880231191706,
A414880231191706,2_Acts73??-0-0
A418388451070644,2_Acts7346-0-0
A419017544835502,2_Acts7335-0-0
A419017544835502,
A419017544835502,2_Acts-0-0
A419017544835502,2_Acts7301-0-0
A419017544835502,2_Acts7304-0-0
A419017544835502,2_Acts7303-0-0
A419017544835502,2_Acts7331-0-0
A419017544835502,2_Acts7305-0-0
A419017544835502,2_Acts7324-0-0
A419017544835502,1_jf61??-0-0
A419017544835502,2_Acts7353-0-0
A419017544835502,2_Acts7355-0-0
A419017544835502,2_Acts7321-0-0
A419017544835502,2_Acts7329-0-0
A419017544835502,2_Acts7352-0-0
A419017544835502,2_Acts7302-0-0
A419017544835502,2_Acts7325-0-0
A419017544835502,2_Acts73??-0-0
A419017544835502,2_Acts7371-0-0
A419017544835502,2_Acts7349-0-0
A419017544835502,2_Acts7328-0-0
A419017544835502,2_Acts7322-0-0
A419017544835502,2_Acts7361-0-0
A419017544835502,2_Acts7323-0-0
A419017544835502,2_Acts7373-0-0
A419017544835502,2_Acts7339-0-0
A419017544835502,1_jf-0-0
A431196688672107,
A431196688672107,1_jf61??-0-0
A431196688672107,2_Acts7311-0-0
A431196688672107,2_Acts73??-0-0
A433701477801193,1_jf61??-0-0
A433701477801193,2_Acts7309-0-0
A433701477801193,
A436277096818389,2_Acts7315-0-0
A436439434957465,
A445182829431721,
A447322231280987,2_Acts7348-0-0
A447322231280987,2_Acts7364-0-0
A447322231280987,
A450586519994528,2_Acts7353-0-0
A455388402014603,
A455388402014603,2_Acts7373-0-0
A456138849640798,
A456138849640798,2_Acts7311-0-0
A456138849640798,2_Acts-0-0
A458763794176666,2_Acts-0-0
A458763794176666,
A460154962381812,2_Acts7325-0-0
A462124124718049,2_Acts-0-0
A463557900340750,2_Acts-0-0
A463557900340750,
A463557900340750,2_Acts7331-0-0
A463557900340750,2_Acts7329-0-0
A468954862155007,2_Acts7313-0-0
A468954862155007,
A468954862155007,1_jf61??-0-0
A475519171788497,2_Acts-0-0
A476942385752061,2_Acts7312-0-0
A484410736234197,2_Acts-0-0
A484410736234197,
A485092084000836,
A485092084000836,1_jf61??-0-0
A485092084000836,2_Acts-0-0
A486816063699709,2_Acts7367-0-0
A490884542056552,2_Acts-0-0
A491208037341638,
A493254739856518,2_Acts-0-0
A496497520478390,
A503852656108359,2_Acts7344-0-0
A505628490225374,
A512858998836635,
A512858998836635,1_jf61??-0-0
A512858998836635,2_Acts7345-0-0
A514303496876190,2_Acts-0-0
A514303496876190,
A515692893918353,2_Acts-0-0
A519665493858678,2_Acts-0-0
A519665493858678,
A527470235977999,
A527470235977999,1_jf61??-0-0
A527470235977999,2_Acts7315-0-0
A530206352667220,2_Acts7363-0-0
A530553072012382,2_Acts7330-0-0
A530553072012382,
A530553072012382,2_Acts7349-0-0
A532366388788468,2_Acts7356-0-0
A532366388788468,
A532366388788468,2_Acts-0-0
A536549236582961,2_Acts-0-0
A539383933851569,
A543923026814146,2_Acts7335-0-0
A543923026814146,2_Acts-0-0
A543923026814146,
A546368271570012,
A546368271570012,2_Acts7322-0-0
A546368271570012,2_Acts-0-0
A546368271570012,1_jf61??-0-0
A548314120682840,
A549170299906678,2_0-Doll-Face
A555546988956900,2_Acts-0-0
A555546988956900,2_Acts7367-0-0
A555546988956900,
A561669000664961,2_Acts7371-0-0
A566517700721631,2_Acts-0-0
A567591047420091,
A567591047420091,2_Acts7373-0-0
A567591047420091,2_Acts-0-0
A567748505290664,
A568703538866687,2_Acts7368-0-0
A576328738613361,1_jf61??-0-0
A578056046887124,
A580262268549140,
A581951322480819,2_Acts73??-0-0
A583912240404916,
A591149184728393,2_Acts7314-0-0
A592482443739865,
A592482443739865,2_Acts-0-0
A602979411295128,
A602979411295128,2_Acts7307-0-0
A602979411295128,2_Acts-0-0
A602979411295128,1_jf61??-0-0
A608792655256881,2_Acts7306-0-0
