asset_id,media_component_id
A422769073546825,1_jf-0-0
A422880359916151,1_jf61??-0-0
A423020517892827,1_jf6160-0-0
A423819322761510,1_jf6117-0-0
A425477773571100,1_jf6121-0-0
A426085688277901,1_riv_01-0-0
A428233802553518,1_wl604409-0-0
A428543052709083,1_cl-0-0
A435135629964313,1_riv_04-0-0
A436277096818389,2_Acts7315-0-0
A437865665354755,3_0-7WDJ-Grace_03-0-0
A442990038647741,1_jf-0-0
A443491422470530,2_0-DidJesusHaveToDie
A444113631701301,2_0-SongOfReeds
A445256991801092,3_RFD0702-0-0
A446247618486365,1_jf-0-0
A446757637997291,1_jf-0-0
A447426203643316,1_jf6126-0-0
A448011305197026,1_jf6108-0-0
A449050532380762,2_0-Rent-Check
A450586519994528,2_Acts7353-0-0
A455388402014603,2_Acts7373-0-0
A456355213727507,1_jf6161-0-0
A460154962381812,2_Acts7325-0-0
A462124124718049,2_Acts-0-0
A462753392493732,1_jf6160-0-0
A463658531717713,1_jf-0-0
A463669587749465,2_0-Just-An-Outside-Shot
A466056193301651,1_cl-0-0
A470052972628250,1_jf6105-0-0
A470444391752155,1_wjv_01-0-0
A471031975885015,1_jf61??-0-0
A473986811555214,1_wl604423-0-0
A475441134540023,2_0-Brand_Video
A475519171788497,2_Acts-0-0
A477539831170254,1_jf-0-0
A479205710660913,1_jf6148-0-0
A481060022316153,1_jf6108-0-0
A482321317977431,2_0-Uninvited
A483465689461737,1_jf-0-0
A484329532783002,1_jf6108-0-0
A484799468459905,3_0-40DWJ_04-0-0
A485362303416653,1_jf-0-0
A485648804807392,1_jf6105-0-0
A486591227990389,1_jf-0-0
A486816063699709,2_Acts7367-0-0
A488934738308924,1_riv_09-0-0
A488949862295046,3_0-8DWJ-WIJ_02-0-0
A490884542056552,2_Acts-0-0
A491097459126158,3_0-40DWJ_39-0-0
A491208037341638,1_jf-0-0
A493056060639450,1_jf-0-0
A493254739856518,2_Acts-0-0
A495064728516268,1_jf6109-0-0
A497063711082296,1_jf61??-0-0
A497856547697475,1_jf-0-0
A498651596767214,1_jf6126-0-0
A499192878962779,1_jf61??-0-0
A500213569615482,1_jf61??-0-0
A500244211017309,1_jf61??-0-0
A502336229759796,1_jf-0-0
A502703995418423,1_jf6154-0-0
A503118430857386,1_riv_08-0-0
A503852656108359,2_Acts7344-0-0
A504610900000644,1_jf6109-0-0
A505756759723807,1_jf61??-0-0
A505807340006723,1_jf-0-0
A509000019729906,1_jf-0-0
A509565431722017,1_riv_09-0-0
A509889102014650,1_jf-0-0
A513520695280397,2_0-CanKnowGod
A514168328604886,1_jf6124-0-0
A514303496876190,2_Acts-0-0
A515692893918353,2_Acts-0-0
A515841178752156,1_jf6125-0-0
A516016003295930,1_jf-0-0
A516105052223329,1_jf6161-0-0
A516115512903259,3_0-40DWJ_34-0-0
A517822050191788,1_jf-0-0
A519369958214488,3_0-7DWJ-WWJ_01-0-0
A519665493858678,2_Acts-0-0
A520373537241432,1_cl-0-0
A523691241884354,3_0-40DWJ_14-0-0
A527582585848069,1_jf6117-0-0
A527862991457918,1_riv_01-0-0
A527915604196639,2_0-OneGod
A530206352667220,2_Acts7363-0-0
